time,frame,item,logo,text,barcode,Item name,
00:00:00,0 ,0,0,0,0
00:00:03,25 ,2,0,0,0,Pringles chips,
00:00:03,27 ,3,1,1,1,,
00:00:04,2 ,3,1,3,1,,
00:00:04,5 ,4,3,4,1,,
00:00:04,10 ,4,4,3,1,,
00:00:04,15 ,3,2,1,0,,
00:00:04,20 ,2,2,1,0,,
00:00:04,25 ,1,0,0,0,,
00:00:05,0 ,0,0,0,0,,
00:00:08,28 ,1,0,0,0,SUN-MAID NATURAL CALIFORNIA RAISINS,
00:00:09,3 ,1,1,1,0,,
00:00:09,8 ,3,2,2,2,,
00:00:09,13 ,4,2,2,2,,
00:00:09,15 ,4,2,3,2,,
00:00:09,20 ,4,2,3,2,,
00:00:09,28 ,1,1,1,0,,
00:00:10,4 ,1,0,0,0,,
00:00:10,6 ,0,0,0,0,,
00:00:13,5 ,1,0,0,0,Barilla FUSILLI,
00:00:13,10 ,1,0,0,0,,
00:00:13,15 ,2,1,0,0,,
00:00:13,20 ,2,2,0,0,,
00:00:13,25 ,4,2,0,1,,
00:00:14,0 ,4,3,1,2,,
00:00:14,2 ,4,4,2,2,,
00:00:14,10 ,4,3,3,2,,
00:00:14,15 ,3,2,2,0,,
00:00:14,20 ,1,0,0,0,,
00:00:14,28 ,0,0,0,0,,
00:00:18,19 ,1,0,0,0,Fruity Crisps STRAWBERRIES,
00:00:18,23 ,1,1,1,1,,
00:00:18,26 ,2,1,1,1,,
00:00:19,1 ,3,1,1,1,,
00:00:19,3 ,4,1,3,2,,
00:00:19,8 ,4,3,4,2,,
00:00:19,11 ,4,3,4,2,,
00:00:19,19 ,1,1,1,0,,
00:00:19,27 ,0,0,0,0,,
00:00:21,27 ,1,0,0,1,Vest Efficacia & Rispetto PIATTI,
00:00:22,10 ,1,0,0,1,,
00:00:22,15 ,1,0,0,1,,
00:00:22,20 ,1,0,0,1,,
00:00:22,25 ,1,0,0,1,,
00:00:23,7 ,2,0,0,1,,
00:00:23,9 ,2,0,0,2,,
00:00:23,16 ,3,0,0,2,,
00:00:23,21 ,4,0,0,1,,
00:00:23,26 ,2,0,0,0,,
00:00:24,1 ,2,0,0,0,,
00:00:24,6 ,1,0,0,0,,
00:00:24,11 ,0,0,0,0,,
00:00:26,16 ,1,1,1,0,Ocean Spray Light CRANBERRY,
00:00:26,21 ,1,1,1,0,,
00:00:26,26 ,1,1,1,0,,
00:00:27,3 ,1,1,1,0,,
00:00:27,9 ,1,1,1,1,,
00:00:27,16 ,2,1,0,1,,
00:00:27,18 ,2,2,1,1,,
00:00:27,23 ,4,4,3,2,,
00:00:27,28 ,4,4,4,1,,
00:00:28,3 ,4,2,2,0,,
00:00:28,8 ,4,2,2,0,,
00:00:28,13 ,2,0,0,0,,
00:00:28,18 ,2,0,0,0,,
00:00:28,23 ,0,0,0,0,,
00:00:32,17 ,2,0,0,1,Lay's Classic POTATO CHIPS,
00:00:32,22 ,2,0,0,1,,
00:00:32,27 ,2,0,0,1,,
00:00:33,2 ,3,0,0,2,,
00:00:33,5 ,3,1,1,2,,
00:00:33,10 ,4,0,0,2,,
00:00:33,12 ,4,0,1,2,,
00:00:33,14 ,3,1,1,2,,
00:00:33,17 ,3,1,0,0,,
00:00:33,22 ,2,0,0,0,,
00:00:33,27 ,0,0,0,0,,
00:00:36,10 ,1,0,1,0,Thins Cheese & Onion crispy potato chips,
00:00:36,15 ,1,0,1,1,,
00:00:36,20 ,3,1,2,2,,
00:00:36,25 ,4,1,1,3,,
00:00:37,0 ,4,2,3,2,,
00:00:37,2 ,4,1,3,2,,
00:00:37,5 ,4,2,4,2,,
00:00:37,7 ,4,1,1,0,,
00:00:37,10 ,3,1,0,0,,
00:00:37,12 ,3,1,0,0,,
00:00:37,17 ,3,1,0,0,,
00:00:37,22 ,2,0,0,0,,
00:00:37,26 ,1,0,0,0,,
00:00:38,0 ,0,0,0,0,,
00:00:39,13 ,2,1,1,0,SANCARLO PIU GUSTO TOMOATO FLAVOUR,
00:00:39,18 ,4,1,1,1,,
00:00:39,21 ,4,1,2,1,,
00:00:39,23 ,3,1,0,0,,
00:00:39,25 ,0,0,0,0,,
00:00:42,8 ,1,0,0,0,CHUBA Cassava Chips Chili Balado Flabor,
00:00:42,13 ,2,0,0,0,,
00:00:42,18 ,3,0,0,3,,
00:00:42,23 ,3,0,1,2,,
00:00:42,28 ,4,0,2,2,,
00:00:43,0 ,4,0,2,1,,
00:00:43,5 ,4,2,3,1,,
00:00:43,8 ,4,3,2,1,,
00:00:43,10 ,3,3,3,1,,
00:00:43,12 ,1,1,1,1,,
00:00:43,17 ,0,0,0,0,,
