time,Frame,Item name,Logo id,Text,Barcode
00:00:00,0 ,0,0,0,0 
00:00:01,24 ,Unkown,0,0,0 
00:00:02,1 ,Unkown,0,0,0 
00:00:02,3 ,Unkown,0,0,0 
00:00:02,4 ,Pringles Chips,0,gles the original,38000138416 
00:00:02,5 ,Pringles Chips,0,pringles the original,38000138416 
00:00:02,6 ,Pringles Chips,327483,Pringles the original,38000138416 
00:00:02,7 ,Pringles Chips,327483,Pringles the original,38000138416 
00:00:02,8 ,Pringles Chips,327483,Pringles the original,38000138416 
00:00:02,9 ,Pringles Chips,327483,Pringles the original,0 
00:00:02,10 ,Pringles Chips,327483,Pringles the original,0 
00:00:02,11 ,Pringles Chips,327483,0,0 
00:00:02,12 ,Unkown,0,0,0 
00:00:02,13 ,0,0,0,0 
00:00:04,12 ,Unkown,0,0,0 
00:00:04,13 ,Sun-maid Natural California Raisins,876932,NMAID California INS,0 
00:00:04,14 ,Sun-maid Natural California Raisins,876932,UN.MAID Natural California AISINS,0 
00:00:04,15 ,Sun-maid Natural California Raisins,876932,SUN.MAID Natural California  RAISINS,0 
00:00:04,16 ,Sun-maid Natural California Raisins,876932,SUN.MAID Natural California  RAISINS,0 
00:00:04,17 ,Sun-maid Natural California Raisins,876932,SUN.MAID Natural California  RAISINS,0 
00:00:04,18 ,Sun-maid Natural California Raisins,876932,SUN.MAID Natural California  RAISINS,0 
00:00:04,19 ,Sun-maid Natural California Raisins,876932,SUN.MAID Natural California  RAISINS,41143028681 
00:00:04,20 ,Sun-maid Natural California Raisins,876932,SUN.MAID Natural California  RAISINS,41143028681 
00:00:04,21 ,Sun-maid Natural California Raisins,876932,SUN.MAID Natural California  RAISINS,41143028681 
00:00:04,22 ,Sun-maid Natural California Raisins,876932,SUN.MA Natural California  RAIS,41143028681 
00:00:04,23 ,Sun-maid Natural California Raisins,876932,SUN.MAI Natural RAISI,41143028681 
00:00:04,24 ,Sun-maid Natural California Raisins,876932,SUN.MAI Natural RAISI,41143028681 
00:00:05,0 ,Sun-maid Natural California Raisins,876932,SUN Natural RAIS,41143028681 
00:00:05,1 ,Unkown,0,0,0 
00:00:05,2 ,Unkown,0,0,0 
00:00:05,3 ,0,0,0,0 
00:00:06,16 ,Unkown,0,0,0 
00:00:06,17 ,Unkown,0,0,0 
00:00:06,18 ,Unkown,0,0,0 
00:00:06,19 ,Unkown,0,0,0 
00:00:06,20 ,Barilla Fusilli ,473829,0,0 
00:00:06,21 ,Barilla Fusilli ,473829,0,0 
00:00:06,22 ,Barilla Fusilli ,473829,0,0 
00:00:06,23 ,Barilla Fusilli ,473829,0,0 
00:00:06,24 ,Barilla Fusilli ,473829,0,Unkown
00:00:07,0 ,Barilla Fusilli ,0,0,8076802085981 
00:00:07,1 ,Barilla Fusilli ,0,0,8076802085981 
00:00:07,2 ,Barilla Fusilli ,0,0,8076802085981 
00:00:07,3 ,Barilla Fusilli ,0,0,8076802085981 
00:00:07,4 ,Barilla Fusilli ,0,0,8076802085981 
00:00:07,5 ,Barilla Fusilli ,473829,FUSILLII,8076802085981 
00:00:07,6 ,Barilla Fusilli ,473829,FUSILLII,8076802085981 
00:00:07,7 ,Barilla Fusilli ,473829,FUSILLII,8076802085981 
00:00:07,8 ,Barilla Fusilli ,473829,FUSILLII,Unkown
00:00:07,9 ,Barilla Fusilli ,473829,FUSILLII,0 
00:00:07,10 ,Barilla Fusilli ,473829,0,0 
00:00:07,11 ,Unkown,0,0,0 
00:00:07,12 ,0,0,0,0 
00:00:09,8 ,Unkown,0,0,0 
00:00:09,9 ,Unkown,0,0,0 
00:00:09,10 ,Unkown,0,0,0 
00:00:09,11 ,DJ&A Fruity Crisps Strawberries,Unkown,Unkown,9345544001207 
00:00:09,12 ,DJ&A Fruity Crisps Strawberries,Unkown,Unkown,9345544001207 
00:00:09,13 ,DJ&A Fruity Crisps Strawberries,536829,STRAWBERRIES,9345544001207 
00:00:09,14 ,DJ&A Fruity Crisps Strawberries,536829,STRAWBERRIES,9345544001207 
00:00:09,15 ,DJ&A Fruity Crisps Strawberries,536829,Fruity Crisps STRAWBERRIES,9345544001207 
00:00:09,16 ,DJ&A Fruity Crisps Strawberries,536829,Fruity Crisps STRAWBERRIES,9345544001207 
00:00:09,17 ,DJ&A Fruity Crisps Strawberries,536829,Fruity Crisps STRAWBERRIES,9345544001207 
00:00:09,18 ,DJ&A Fruity Crisps Strawberries,536829,Fruity Crisps STRAWBERRIES,9345544001207 
00:00:09,19 ,DJ&A Fruity Crisps Strawberries,536829,Fruity Crisps STRAWBERRIES,9345544001207 
00:00:09,20 ,DJ&A Fruity Crisps Strawberries,0,0,9345544001207 
00:00:09,21 ,0,0,0,0 
00:00:11,0 ,Vest Efficacia & Rispetto Piatti,0,0,8015194510411 
00:00:11,1 ,Vest Efficacia & Rispetto Piatti,0,0,8015194510411 
00:00:11,2 ,Vest Efficacia & Rispetto Piatti,0,0,8015194510411 
00:00:11,3 ,Vest Efficacia & Rispetto Piatti,0,0,8015194510411 
00:00:11,4 ,Vest Efficacia & Rispetto Piatti,0,0,8015194510411 
